company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
51–200,5M–20M,Logistics provider,101–250,"Delivery bikes,Vans,Trucks",6–10,Reactive,1,1069,"Mechanical failure,Electrical issues","TMS,WMS",Not familiar,Complexity,Unlikely,26–50%,Sustainability goals,21–30%,"Predictive alerts,Maintenance scheduling",Moderately important,Not tracked,2–5%,High,"Sustainability,Regulatory compliance,Safety","Higher cost, maximum reliability","Downtime hours,Delivery delays",Yes
201–500,5M–20M,Manufacturing,25–100,Electric vehicles (EVs),2–5,Preventive,2,1325,"Accidents,Battery/charging (for EVs)","WMS,None",Somewhat familiar,Data security concerns,Very unlikely,10–25%,Competitive advantage,21–30%,"Fuel efficiency analytics,Parts availability",Very important,In-house software,<2%,Medium,"Uptime/reliability,Regulatory compliance,Sustainability","Higher cost, maximum reliability","Delivery delays,Fuel efficiency",No
<50,1M–5M,Logistics provider,<25,"Vans,Delivery bikes",6–10,Preventive,2,732,"Battery/charging (for EVs),Mechanical failure,Accidents","WMS,None",Somewhat familiar,Complexity,Likely,10–25%,Cost savings,21–30%,Cost–benefit analysis,Critical,Not tracked,6–10%,None,"Regulatory compliance,Cost reduction,Safety","Moderate cost, high reliability","Delivery delays,Downtime hours,Emission metrics,Fuel efficiency",Yes
501–1000,1M–5M,Logistics provider,>500,Electric vehicles (EVs),6–10,Preventive,3,1413,"Battery/charging (for EVs),Electrical issues","WMS,ERP",Somewhat familiar,Lack of internal skills,Neutral,26–50%,Cost savings,10–20%,Maintenance scheduling,Very important,In-house software,>10%,Medium,"Uptime/reliability,Regulatory compliance,Safety","Moderate cost, high reliability","Repair costs,Fuel efficiency",No
<50,1M–5M,Logistics provider,25–100,"Forklifts,Delivery bikes,Vans,Trucks",2–5,Preventive,2,1260,"Tire issues,Battery/charging (for EVs)",ERP,Not familiar,Complexity,Unlikely,<10%,Regulatory compliance,>30%,"Cost–benefit analysis,Sustainability/CO₂ reports,Parts availability",Very important,3rd party tool,2–5%,Low,"Uptime/reliability,Cost reduction,Customer satisfaction","Moderate cost, high reliability","Delivery delays,Repair costs,Fuel efficiency,Emission metrics",Yes
>1000,1M–5M,Logistics provider,101–250,"Trucks,Forklifts,Vans",<2,Reactive,5,1590,"Accidents,Mechanical failure,Tire issues",WMS,Very familiar,Other,Neutral,<10%,Cost savings,21–30%,Parts availability,Very important,Not tracked,6–10%,Low,"Cost reduction,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Downtime hours",Yes
501–1000,1M–5M,Manufacturing,101–250,"Delivery bikes,Trucks,Electric vehicles (EVs),Vans",6–10,Reactive,5,769,"Tire issues,Electrical issues",WMS,Somewhat familiar,Not a priority,Very unlikely,<10%,Sustainability goals,10–20%,"Parts availability,Real-time health scores",Very important,Manual spreadsheet,<2%,Medium,"Regulatory compliance,Safety,Cost reduction","Higher cost, maximum reliability","Delivery delays,Downtime hours,Emission metrics",Maybe
51–200,1M–5M,Retail/E-commerce,101–250,Electric vehicles (EVs),6–10,Predictive,3,995,"Tire issues,Accidents,Electrical issues",ERP,Not familiar,Cost,Very likely,10–25%,Uptime improvement,10–20%,"Predictive alerts,Fuel efficiency analytics,Parts availability",Slightly important,3rd party tool,2–5%,Essential,"Regulatory compliance,Uptime/reliability,Customer satisfaction","Higher cost, maximum reliability","Repair costs,Downtime hours,Emission metrics",Maybe
<50,<1M,Logistics provider,25–100,"Vans,Trucks,Electric vehicles (EVs)",<2,Predictive,5,1921,Tire issues,"None,WMS",Somewhat familiar,Lack of internal skills,Unlikely,<10%,Competitive advantage,10–20%,Sustainability/CO₂ reports,Moderately important,Not tracked,6–10%,Essential,"Safety,Uptime/reliability,Sustainability","Moderate cost, high reliability","Delivery delays,Emission metrics,Repair costs,Fuel efficiency",Maybe
501–1000,<1M,Food & Beverage,25–100,"Electric vehicles (EVs),Trucks,Delivery bikes",<2,Reactive,3,747,"Battery/charging (for EVs),Accidents,Tire issues","WMS,ERP",Somewhat familiar,Data security concerns,Very likely,<10%,Cost savings,10–20%,Parts availability,Not important,In-house software,2–5%,Essential,"Customer satisfaction,Cost reduction,Safety","Moderate cost, high reliability","Fuel efficiency,Emission metrics,Downtime hours,Repair costs",Yes
501–1000,>100M,Food & Beverage,101–250,"Trucks,Electric vehicles (EVs),Delivery bikes",6–10,Preventive,8,504,Accidents,WMS,Not familiar,Complexity,Neutral,10–25%,Cost savings,>30%,"Fuel efficiency analytics,Sustainability/CO₂ reports,Real-time health scores",Very important,Not tracked,<2%,Medium,"Regulatory compliance,Sustainability,Uptime/reliability","Lower cost, moderate reliability","Downtime hours,Emission metrics,Delivery delays",Maybe
501–1000,5M–20M,Food & Beverage,251–500,"Forklifts,Electric vehicles (EVs)",2–5,Preventive,8,885,"Electrical issues,Battery/charging (for EVs),Mechanical failure",None,Somewhat familiar,Lack of internal skills,Very likely,<10%,Regulatory compliance,10–20%,"Predictive alerts,Parts availability",Very important,Manual spreadsheet,6–10%,High,"Regulatory compliance,Customer satisfaction,Sustainability","Moderate cost, high reliability",Repair costs,No
501–1000,1M–5M,Logistics provider,>500,"Electric vehicles (EVs),Vans,Delivery bikes,Forklifts",6–10,Predictive,4,312,"Accidents,Electrical issues","TMS,None",Very familiar,Not a priority,Unlikely,<10%,Regulatory compliance,>30%,"Fuel efficiency analytics,Predictive alerts",Moderately important,3rd party tool,6–10%,Essential,"Customer satisfaction,Cost reduction,Safety","Moderate cost, high reliability","Repair costs,Delivery delays,Fuel efficiency,Emission metrics",No
<50,5M–20M,Retail/E-commerce,<25,"Delivery bikes,Vans",2–5,Predictive,1,2036,"Tire issues,Mechanical failure","ERP,None,WMS",Very familiar,Complexity,Unlikely,26–50%,Uptime improvement,21–30%,"Fuel efficiency analytics,Real-time health scores",Very important,Not tracked,6–10%,High,"Uptime/reliability,Cost reduction,Safety","Lower cost, moderate reliability","Repair costs,Fuel efficiency",Maybe
51–200,1M–5M,Other,<25,Trucks,6–10,Predictive,0,1059,"Tire issues,Mechanical failure","ERP,None,TMS",Heard of it,Other,Likely,10–25%,Competitive advantage,10–20%,Cost–benefit analysis,Moderately important,In-house software,<2%,Low,"Customer satisfaction,Uptime/reliability,Cost reduction","Lower cost, moderate reliability","Repair costs,Emission metrics,Delivery delays,Fuel efficiency",Maybe
<50,20M–100M,Manufacturing,>500,"Vans,Delivery bikes,Trucks,Electric vehicles (EVs)",>10,Predictive,3,1063,Tire issues,"None,WMS",Very familiar,Data security concerns,Unlikely,10–25%,Cost savings,10–20%,"Cost–benefit analysis,Real-time health scores",Slightly important,In-house software,<2%,Medium,"Customer satisfaction,Uptime/reliability,Safety","Lower cost, moderate reliability",Delivery delays,Maybe
>1000,20M–100M,Logistics provider,101–250,"Vans,Forklifts",>10,Preventive,4,1571,Tire issues,ERP,Heard of it,Data security concerns,Likely,<10%,Uptime improvement,21–30%,"Parts availability,Maintenance scheduling",Moderately important,Manual spreadsheet,2–5%,Essential,"Uptime/reliability,Sustainability,Cost reduction","Moderate cost, high reliability","Repair costs,Emission metrics,Fuel efficiency",Yes
201–500,<1M,Logistics provider,251–500,Forklifts,2–5,Predictive,3,837,"Electrical issues,Battery/charging (for EVs),Accidents","TMS,WMS,ERP",Currently using,Complexity,Neutral,10–25%,Competitive advantage,21–30%,"Sustainability/CO₂ reports,Real-time health scores,Maintenance scheduling",Very important,Manual spreadsheet,<2%,Low,"Customer satisfaction,Sustainability,Safety","Higher cost, maximum reliability","Emission metrics,Downtime hours,Repair costs",No
51–200,5M–20M,Retail/E-commerce,25–100,"Vans,Electric vehicles (EVs),Trucks,Forklifts",6–10,Preventive,6,1092,Tire issues,WMS,Not familiar,Not a priority,Likely,<10%,Uptime improvement,>30%,Parts availability,Very important,In-house software,6–10%,Low,"Uptime/reliability,Customer satisfaction,Cost reduction","Moderate cost, high reliability","Downtime hours,Fuel efficiency,Emission metrics",No
<50,20M–100M,Other,101–250,"Delivery bikes,Trucks",2–5,Reactive,4,824,Mechanical failure,"TMS,WMS",Somewhat familiar,Cost,Very likely,>50%,Cost savings,21–30%,"Sustainability/CO₂ reports,Predictive alerts,Parts availability",Moderately important,Not tracked,6–10%,Medium,"Uptime/reliability,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Fuel efficiency,Delivery delays,Repair costs,Downtime hours",Maybe
51–200,20M–100M,Retail/E-commerce,101–250,"Trucks,Delivery bikes,Vans",6–10,Preventive,4,322,"Electrical issues,Battery/charging (for EVs)",ERP,Somewhat familiar,Cost,Very likely,10–25%,Regulatory compliance,21–30%,Real-time health scores,Very important,Not tracked,2–5%,Essential,"Sustainability,Regulatory compliance,Cost reduction","Lower cost, moderate reliability","Repair costs,Delivery delays,Fuel efficiency,Downtime hours",No
51–200,5M–20M,Retail/E-commerce,101–250,"Forklifts,Delivery bikes,Electric vehicles (EVs)",2–5,Predictive,3,1225,Accidents,"TMS,None,WMS",Heard of it,Data security concerns,Neutral,>50%,Regulatory compliance,<10%,"Parts availability,Sustainability/CO₂ reports,Cost–benefit analysis",Moderately important,3rd party tool,>10%,Low,"Customer satisfaction,Cost reduction,Uptime/reliability","Lower cost, moderate reliability",Fuel efficiency,Yes
501–1000,5M–20M,Logistics provider,25–100,Delivery bikes,<2,Predictive,2,1713,"Accidents,Tire issues,Mechanical failure","TMS,ERP",Very familiar,Not a priority,Neutral,26–50%,Regulatory compliance,>30%,Real-time health scores,Critical,Not tracked,<2%,High,"Regulatory compliance,Sustainability,Cost reduction","Lower cost, moderate reliability","Emission metrics,Fuel efficiency,Repair costs,Downtime hours",Yes
201–500,1M–5M,Manufacturing,<25,"Electric vehicles (EVs),Vans,Forklifts",>10,Reactive,5,1240,Electrical issues,"ERP,WMS",Somewhat familiar,Data security concerns,Very likely,10–25%,Sustainability goals,>30%,Maintenance scheduling,Moderately important,Not tracked,6–10%,Low,"Cost reduction,Customer satisfaction,Regulatory compliance","Moderate cost, high reliability","Emission metrics,Repair costs,Delivery delays,Downtime hours",Yes
>1000,>100M,Food & Beverage,101–250,"Vans,Forklifts",<2,Preventive,4,1660,Electrical issues,"ERP,TMS,WMS",Not familiar,Cost,Very likely,10–25%,Uptime improvement,10–20%,"Fuel efficiency analytics,Predictive alerts,Cost–benefit analysis",Critical,3rd party tool,<2%,High,"Uptime/reliability,Regulatory compliance,Sustainability","Moderate cost, high reliability","Repair costs,Downtime hours,Fuel efficiency",Maybe
201–500,1M–5M,Logistics provider,25–100,"Electric vehicles (EVs),Delivery bikes",6–10,Predictive,3,652,Battery/charging (for EVs),"WMS,ERP",Somewhat familiar,Data security concerns,Very unlikely,26–50%,Cost savings,<10%,Maintenance scheduling,Very important,Not tracked,<2%,High,"Safety,Customer satisfaction,Regulatory compliance","Higher cost, maximum reliability",Emission metrics,Yes
<50,20M–100M,Manufacturing,25–100,"Trucks,Forklifts,Vans",6–10,Preventive,5,823,"Mechanical failure,Tire issues","ERP,WMS",Somewhat familiar,Complexity,Likely,10–25%,Uptime improvement,21–30%,"Sustainability/CO₂ reports,Parts availability",Very important,In-house software,<2%,None,"Regulatory compliance,Sustainability,Uptime/reliability","Moderate cost, high reliability","Delivery delays,Downtime hours,Fuel efficiency",No
501–1000,5M–20M,Other,>500,"Electric vehicles (EVs),Delivery bikes",6–10,Preventive,2,553,"Electrical issues,Accidents","WMS,TMS,ERP",Heard of it,Other,Unlikely,<10%,Regulatory compliance,>30%,"Fuel efficiency analytics,Maintenance scheduling",Very important,In-house software,>10%,Essential,"Regulatory compliance,Uptime/reliability,Sustainability","Moderate cost, high reliability",Repair costs,Maybe
501–1000,5M–20M,Logistics provider,25–100,Forklifts,2–5,Preventive,2,1383,Accidents,None,Currently using,Complexity,Very likely,10–25%,Uptime improvement,21–30%,Fuel efficiency analytics,Moderately important,Manual spreadsheet,2–5%,Essential,"Uptime/reliability,Regulatory compliance,Cost reduction","Lower cost, moderate reliability",Emission metrics,Yes
201–500,5M–20M,Retail/E-commerce,251–500,"Delivery bikes,Vans",2–5,Preventive,2,1041,Accidents,ERP,Very familiar,Other,Unlikely,<10%,Competitive advantage,21–30%,Real-time health scores,Very important,Not tracked,<2%,Medium,"Safety,Uptime/reliability,Customer satisfaction","Lower cost, moderate reliability",Downtime hours,Maybe
501–1000,1M–5M,Logistics provider,25–100,"Vans,Electric vehicles (EVs)",6–10,Reactive,3,1022,Battery/charging (for EVs),WMS,Heard of it,Not a priority,Likely,26–50%,Uptime improvement,>30%,Fuel efficiency analytics,Moderately important,Manual spreadsheet,6–10%,Low,"Cost reduction,Regulatory compliance,Sustainability","Lower cost, moderate reliability","Emission metrics,Fuel efficiency,Repair costs,Downtime hours",Maybe
201–500,1M–5M,Manufacturing,101–250,"Trucks,Forklifts,Vans,Delivery bikes",2–5,Preventive,3,1534,Accidents,"ERP,WMS",Somewhat familiar,Cost,Likely,10–25%,Sustainability goals,10–20%,Maintenance scheduling,Moderately important,In-house software,<2%,Medium,"Safety,Regulatory compliance,Uptime/reliability","Moderate cost, high reliability","Fuel efficiency,Downtime hours",Yes
201–500,1M–5M,Retail/E-commerce,>500,Trucks,2–5,Predictive,3,964,Electrical issues,"None,TMS",Heard of it,Not a priority,Very likely,>50%,Sustainability goals,21–30%,"Sustainability/CO₂ reports,Predictive alerts,Cost–benefit analysis",Very important,3rd party tool,<2%,Essential,"Safety,Sustainability,Uptime/reliability","Moderate cost, high reliability","Emission metrics,Delivery delays,Downtime hours",Yes
51–200,1M–5M,Manufacturing,<25,"Electric vehicles (EVs),Delivery bikes,Vans,Forklifts",2–5,Preventive,0,1740,"Electrical issues,Battery/charging (for EVs)",WMS,Very familiar,Not a priority,Likely,10–25%,Regulatory compliance,<10%,Predictive alerts,Moderately important,Not tracked,6–10%,Low,"Sustainability,Uptime/reliability,Regulatory compliance","Lower cost, moderate reliability","Delivery delays,Repair costs",Maybe
<50,20M–100M,Manufacturing,<25,Delivery bikes,2–5,Predictive,4,1318,"Tire issues,Electrical issues","ERP,TMS",Currently using,Cost,Unlikely,26–50%,Cost savings,10–20%,"Cost–benefit analysis,Predictive alerts",Slightly important,Not tracked,<2%,Medium,"Uptime/reliability,Regulatory compliance,Safety","Moderate cost, high reliability",Emission metrics,Yes
<50,1M–5M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks,Forklifts",6–10,Preventive,4,1017,Battery/charging (for EVs),WMS,Somewhat familiar,Lack of internal skills,Likely,<10%,Competitive advantage,>30%,"Sustainability/CO₂ reports,Fuel efficiency analytics,Maintenance scheduling",Critical,In-house software,>10%,Medium,"Customer satisfaction,Regulatory compliance,Sustainability","Moderate cost, high reliability","Repair costs,Fuel efficiency,Downtime hours",No
<50,<1M,Other,<25,"Forklifts,Delivery bikes,Electric vehicles (EVs)",2–5,Reactive,2,424,"Accidents,Mechanical failure,Tire issues","WMS,TMS,ERP",Very familiar,Lack of internal skills,Very likely,10–25%,Cost savings,21–30%,"Cost–benefit analysis,Fuel efficiency analytics,Sustainability/CO₂ reports",Critical,3rd party tool,6–10%,None,"Uptime/reliability,Sustainability,Safety","Lower cost, moderate reliability",Downtime hours,No
201–500,>100M,Retail/E-commerce,101–250,"Trucks,Vans,Delivery bikes",6–10,Preventive,4,1532,"Mechanical failure,Battery/charging (for EVs)","None,WMS,TMS",Somewhat familiar,Data security concerns,Likely,26–50%,Cost savings,>30%,"Maintenance scheduling,Real-time health scores,Sustainability/CO₂ reports",Very important,Not tracked,<2%,Medium,"Safety,Cost reduction,Regulatory compliance","Moderate cost, high reliability","Emission metrics,Downtime hours,Repair costs,Fuel efficiency",Yes
